Id,Order,Family,Genus,Country,Locality,Bioregion,Type
Solidago canadensis (Havr̩),Asterales,Asteraceae,Solidago,Belgium,Havr̩,Atlantic,Plant
Dipsacus fullonum (Havr̩),Dipsacales,Caprifoliaceae,Dipsacus,Belgium,Havr̩,Atlantic,Plant
Lythrum salicaria (Havr̩),Myrtales,Lythraceae,Lythrum,Belgium,Havr̩,Atlantic,Plant
Geranium molle (Havr̩),Geraniales,Geraniaceae,Geranium,Belgium,Havr̩,Atlantic,Plant
Jacobaea vulgaris (Havr̩),Asterales,Asteraceae,Jacobaea,Belgium,Havr̩,Atlantic,Plant
Potentilla reptans (Havr̩),Rosales,Rosaceae,Potentilla,Belgium,Havr̩,Atlantic,Plant
Daucus carota (Havr̩),Apiales,Apiaceae,Daucus,Belgium,Havr̩,Atlantic,Plant
Matricaria chamomilla (P̩ruwelz),Asterales,Asteraceae,Matricaria,Belgium,P̩ruwelz,Atlantic,Plant
Cirsium vulgare (P̩ruwelz),Asterales,Asteraceae,Cirsium,Belgium,P̩ruwelz,Atlantic,Plant
Trifolium pratense (P̩ruwelz),Fabales,Fabaceae,Trifolium,Belgium,P̩ruwelz,Atlantic,Plant
Cichorium intybus (P̩ruwelz),Asterales,Asteraceae,Cichorium,Belgium,P̩ruwelz,Atlantic,Plant
Cirsium arvense (P̩ruwelz),Asterales,Asteraceae,Cirsium,Belgium,P̩ruwelz,Atlantic,Plant
Erodium cicutarium (P̩ruwelz),Geraniales,Geraniaceae,Erodium,Belgium,P̩ruwelz,Atlantic,Plant
Papaver rhoeas (P̩ruwelz),Ranunculales,Papaveraceae,Papaver,Belgium,P̩ruwelz,Atlantic,Plant
Brassica arvensis (P̩ruwelz),Brassicales,Brassicaceae,Brassica,Belgium,P̩ruwelz,Atlantic,Plant
Cirsium vulgare (Hensies),Asterales,Asteraceae,Cirsium,Belgium,Hensies,Atlantic,Plant
Arctium minus (Hensies),Asterales,Asteraceae,Arctium,Belgium,Hensies,Atlantic,Plant
Hypericum perforatum (Hensies),Malpighiales,Hypericaceae,Hypericum,Belgium,Hensies,Atlantic,Plant
Echium vulgare (Hensies),Boraginales,Boraginaceae,Echium,Belgium,Hensies,Atlantic,Plant
Linaria vulgaris (Hensies),Lamiales,Plantaginaceae,Linaria,Belgium,Hensies,Atlantic,Plant
Rosa canina (Hensies),Rosales,Rosaceae,Rosa,Belgium,Hensies,Atlantic,Plant
Cornus sanguinea (Hensies),Cornales,Cornaceae,Cornus,Belgium,Hensies,Atlantic,Plant
Potentilla reptans (Hensies),Rosales,Rosaceae,Potentilla,Belgium,Hensies,Atlantic,Plant
Leucanthemum vulgare (Hensies),Asterales,Asteraceae,Leucanthemum,Belgium,Hensies,Atlantic,Plant
Lotus corniculatus (Mons),Fabales,Fabaceae,Lotus,Belgium,Mons,Atlantic,Plant
Centaurea nigra (Mons),Asterales,Asteraceae,Centaurea,Belgium,Mons,Atlantic,Plant
Achillea millefolium (Mons),Asterales,Asteraceae,Achillea,Belgium,Mons,Atlantic,Plant
Centaurea cyanus (Mons),Asterales,Asteraceae,Centaurea,Belgium,Mons,Atlantic,Plant
Achillea millefolium (Spienne),Asterales,Asteraceae,Achillea,Belgium,Spienne,Atlantic,Plant
Crepis capillaris (Spienne),Asterales,Asteraceae,Crepis,Belgium,Spienne,Atlantic,Plant
Campanula portenschlagiana (Spienne),Asterales,Campanulaceae,Campanula,Belgium,Spienne,Atlantic,Plant
Lotus corniculatus (Spienne),Fabales,Fabaceae,Lotus,Belgium,Spienne,Atlantic,Plant
Hypochaeris radicata (Spienne),Asterales,Asteraceae,Hypochaeris,Belgium,Spienne,Atlantic,Plant
Trifolium repens (Spienne),Fabales,Fabaceae,Trifolium,Belgium,Spienne,Atlantic,Plant
Dianthus caryophyllus (Spienne),Caryophyllales,Caryophyllaceae,Dianthus,Belgium,Spienne,Atlantic,Plant
Heracleum sphondylium (La Louvi̬re),Apiales,Apiaceae,Heracleum,Belgium,La Louvi̬re,Atlantic,Plant
Cirsium arvense (La Louvi̬re),Asterales,Asteraceae,Cirsium,Belgium,La Louvi̬re,Atlantic,Plant
Eupatorium cannabinum (La Louvi̬re),Asterales,Asteraceae,Eupatorium,Belgium,La Louvi̬re,Atlantic,Plant
