Id,Country,Locality,Bioregion,Latitude,Longitude,Type
Asterales (Antoing),Belgium,Antoing,Atlantic,50.5813,3.4303,Plant
Boraginales (Antoing),Belgium,Antoing,Atlantic,50.5813,3.4303,Plant
Geraniales (Antoing),Belgium,Antoing,Atlantic,50.5813,3.4303,Plant
Fabales (Antoing),Belgium,Antoing,Atlantic,50.5813,3.4303,Plant
Boraginales (Obourg),Belgium,Obourg,Atlantic,50.4756,3.9791,Plant
Fabales (Obourg),Belgium,Obourg,Atlantic,50.4756,3.9791,Plant
Asterales (Obourg),Belgium,Obourg,Atlantic,50.4756,3.9791,Plant
Rosales (Obourg),Belgium,Obourg,Atlantic,50.4756,3.9791,Plant
Myrtales (Obourg),Belgium,Obourg,Atlantic,50.4756,3.9791,Plant
Lamiales (Obourg),Belgium,Obourg,Atlantic,50.4756,3.9791,Plant
Brassicales (Obourg),Belgium,Obourg,Atlantic,50.4756,3.9791,Plant
Ericales (Braine-le-Comte),Belgium,Braine-le-Comte,Atlantic,50.62931,4.18872,Plant
Boraginales (Nouvelles),Belgium,Nouvelles,Atlantic,50.4153,3.9707,Plant
Geraniales (Nouvelles),Belgium,Nouvelles,Atlantic,50.4153,3.9707,Plant
Asterales (Nouvelles),Belgium,Nouvelles,Atlantic,50.4153,3.9707,Plant
Apiales (Nouvelles),Belgium,Nouvelles,Atlantic,50.4153,3.9707,Plant
Solanales (Nouvelles),Belgium,Nouvelles,Atlantic,50.4153,3.9707,Plant
Dipsacales (Nouvelles),Belgium,Nouvelles,Atlantic,50.4153,3.9707,Plant
Malvales (Nouvelles),Belgium,Nouvelles,Atlantic,50.4153,3.9707,Plant
Lamiales (Nouvelles),Belgium,Nouvelles,Atlantic,50.4153,3.9707,Plant
Fabales (Nouvelles),Belgium,Nouvelles,Atlantic,50.4153,3.9707,Plant
Asterales (Beloeil),Belgium,Beloeil,Atlantic,50.5194,3.8891,Plant
Boraginales (Beloeil),Belgium,Beloeil,Atlantic,50.5194,3.8891,Plant
Fabales (Beloeil),Belgium,Beloeil,Atlantic,50.5194,3.8891,Plant
Dipsacales (Beloeil),Belgium,Beloeil,Atlantic,50.5194,3.8891,Plant
Lamiales (Beloeil),Belgium,Beloeil,Atlantic,50.5194,3.8891,Plant
Cornales (Beloeil),Belgium,Beloeil,Atlantic,50.5194,3.8891,Plant
Ranunculales (Beloeil),Belgium,Beloeil,Atlantic,50.5194,3.8891,Plant
Asterales (Mons),Belgium,Mons,Atlantic,50.4459,3.9683,Plant
Fabales (Mons),Belgium,Mons,Atlantic,50.4459,3.9683,Plant
Boraginales (Mons),Belgium,Mons,Atlantic,50.4459,3.9683,Plant
Apiales (Mons),Belgium,Mons,Atlantic,50.4459,3.9683,Plant
Solanales (Mons),Belgium,Mons,Atlantic,50.4459,3.9683,Plant
